./packages/vue-template-compiler/browser.js:1762: warning: parseFilters has 71 NLOC, 39 CCN, 476 token, 1 PARAM, 81 length
./packages/vue-template-compiler/build.js:1727: warning: parseFilters has 71 NLOC, 39 CCN, 476 token, 1 PARAM, 81 length
./packages/weex-template-compiler/build.js:556: warning: parseFilters has 71 NLOC, 39 CCN, 476 token, 1 PARAM, 81 length
./dist/vue.min.js:6: warning: Or has 1 NLOC, 39 CCN, 432 token, 1 PARAM, 1 length
./dist/vue.esm.js:6891: warning: parseFilters has 71 NLOC, 39 CCN, 476 token, 1 PARAM, 81 length
./dist/vue.esm.browser.min.js:6: warning: yo has 1 NLOC, 39 CCN, 430 token, 1 PARAM, 1 length
./dist/vue.esm.browser.js:6891: warning: parseFilters has 71 NLOC, 39 CCN, 461 token, 1 PARAM, 81 length
./dist/vue.common.dev.js:6869: warning: parseFilters has 71 NLOC, 39 CCN, 476 token, 1 PARAM, 81 length
./dist/vue.common.prod.js:6: warning: Or has 1 NLOC, 39 CCN, 432 token, 1 PARAM, 1 length
./dist/vue.js:6873: warning: parseFilters has 71 NLOC, 39 CCN, 476 token, 1 PARAM, 81 length
./dist/vue.esm.js:8178: warning: enter has 89 NLOC, 37 CCN, 515 token, 2 PARAM, 150 length
./dist/vue.runtime.esm.js:7530: warning: enter has 89 NLOC, 37 CCN, 515 token, 2 PARAM, 150 length
./dist/vue.runtime.js:7512: warning: enter has 89 NLOC, 36 CCN, 507 token, 2 PARAM, 150 length
./dist/vue.runtime.common.dev.js:7508: warning: enter has 89 NLOC, 36 CCN, 507 token, 2 PARAM, 150 length
./dist/vue.esm.browser.js:8170: warning: enter has 91 NLOC, 36 CCN, 433 token, 2 PARAM, 152 length
./dist/vue.common.dev.js:8156: warning: enter has 89 NLOC, 36 CCN, 507 token, 2 PARAM, 150 length
./dist/vue.js:8160: warning: enter has 89 NLOC, 36 CCN, 507 token, 2 PARAM, 150 length
./packages/weex-vue-framework/factory.js:6406: warning: hydrate has 83 NLOC, 35 CCN, 517 token, 4 PARAM, 94 length
./dist/vue.min.js:6: warning: Ri has 1 NLOC, 35 CCN, 424 token, 2 PARAM, 1 length
./dist/vue.esm.js:6414: warning: hydrate has 83 NLOC, 35 CCN, 517 token, 4 PARAM, 94 length
./dist/vue.esm.browser.min.js:6: warning: Lr has 1 NLOC, 35 CCN, 404 token, 2 PARAM, 1 length
./dist/vue.runtime.esm.js:6403: warning: hydrate has 83 NLOC, 35 CCN, 517 token, 4 PARAM, 94 length
./dist/vue.runtime.common.prod.js:6: warning: ao has 1 NLOC, 35 CCN, 424 token, 2 PARAM, 1 length
./dist/vue.common.prod.js:6: warning: Ri has 1 NLOC, 35 CCN, 424 token, 2 PARAM, 1 length
./dist/vue.runtime.min.js:6: warning: ao has 1 NLOC, 35 CCN, 424 token, 2 PARAM, 1 length
./src/core/vdom/patch.js:596: warning: hydrate has 81 NLOC, 35 CCN, 477 token, 4 PARAM, 92 length
./packages/vue-template-compiler/build.js:3085: warning: processAttrs has 125 NLOC, 33 CCN, 783 token, 1 PARAM, 133 length
./packages/weex-template-compiler/build.js:1893: warning: processAttrs has 125 NLOC, 33 CCN, 777 token, 1 PARAM, 133 length
./dist/vue.esm.js:10344: warning: processAttrs has 125 NLOC, 33 CCN, 783 token, 1 PARAM, 133 length
./packages/weex-vue-framework/factory.js:6311: warning: patchVnode has 63 NLOC, 32 CCN, 509 token, 6 PARAM, 74 length
./packages/weex-vue-framework/factory.js:7049: warning: enter has 68 NLOC, 32 CCN, 488 token, 2 PARAM, 121 length
./dist/vue.esm.js:6319: warning: patchVnode has 63 NLOC, 32 CCN, 509 token, 6 PARAM, 74 length
./dist/vue.runtime.esm.js:6308: warning: patchVnode has 63 NLOC, 32 CCN, 509 token, 6 PARAM, 74 length
./dist/vue.runtime.js:6387: warning: hydrate has 81 NLOC, 32 CCN, 491 token, 4 PARAM, 92 length
./dist/vue.runtime.common.dev.js:6383: warning: hydrate has 81 NLOC, 32 CCN, 491 token, 4 PARAM, 92 length
./dist/vue.esm.browser.js:6418: warning: hydrate has 79 NLOC, 32 CCN, 475 token, 4 PARAM, 90 length
./dist/vue.common.dev.js:6394: warning: hydrate has 81 NLOC, 32 CCN, 491 token, 4 PARAM, 92 length
./dist/vue.js:6398: warning: hydrate has 81 NLOC, 32 CCN, 491 token, 4 PARAM, 92 length
./src/core/vdom/patch.js:501: warning: patchVnode has 63 NLOC, 32 CCN, 479 token, 6 PARAM, 74 length
./src/platforms/weex/runtime/modules/transition.js:12: warning: enter has 70 NLOC, 32 CCN, 398 token, 2 PARAM, 123 length
./packages/weex-vue-framework/factory.js:3548: warning: _createElement has 80 NLOC, 31 CCN, 480 token, 5 PARAM, 90 length
./dist/vue.min.js:6: warning: x has 1 NLOC, 31 CCN, 426 token, 6 PARAM, 1 length
./dist/vue.esm.browser.min.js:6: warning: x has 1 NLOC, 31 CCN, 431 token, 6 PARAM, 1 length
./dist/vue.runtime.common.prod.js:6: warning: A has 1 NLOC, 31 CCN, 426 token, 6 PARAM, 1 length
./dist/vue.common.prod.js:6: warning: x has 1 NLOC, 31 CCN, 426 token, 6 PARAM, 1 length
./dist/vue.runtime.min.js:6: warning: A has 1 NLOC, 31 CCN, 426 token, 6 PARAM, 1 length
./packages/vue-server-renderer/basic.js:5: warning: (anonymous) has 762 NLOC, 2 CCN, 494 token, 0 PARAM, 1074 length
./test/unit/features/directives/on.spec.js:4: warning: (anonymous) has 54 NLOC, 2 CCN, 444 token, 0 PARAM, 1103 length
