Date,IBOV,BOVA11,ABEV3,AZUL4,BTOW3,B3SA3,BBAS3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BRKM5,BRFS3,BPAC11,CRFB3,CCRO3,CMIG4,HGTX3,CIEL3,COGN3,CSAN3,CPFE3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,YDUQ3,FLRY3,GOAU4,GGBR4,GOLL4,HAPV3,HYPE3,IGTA3,GNDI3,IRBR3,ITUB4,ITSA4,JBSS3,KLBN11,RENT3,LAME4,LREN3,MGLU3,MRFG3,BEEF3,MRVE3,MULT3,NTCO3,BRDT3,PETR3,PETR4,QUAL3,RADL3,RAIL3,SBSP3,SANB11,CSNA3,SULA11,SUZB3,TAEE11,TIMP3,TOTS3,USIM5,VALE3,WEGE3
20070102,45382.61,0.00,2.40,0.00,61.20,0.00,10.00,0.00,0.00,6.14,6.46,13.75,10.05,13.11,0.00,0.00,4.33,4.14,0.98,0.00,0.00,31.05,8.28,0.00,11.99,0.00,12.38,10.95,17.91,4.71,7.07,0.00,0.00,0.00,18.00,14.61,60.43,0.00,0.00,0.00,0.00,0.00,7.41,2.30,0.00,0.00,4.98,5.89,3.91,0.00,0.00,0.00,0.00,0.00,9.95,0.00,21.87,17.71,0.00,0.00,75.02,8.26,0.00,6.37,0.00,0.00,2.06,9.25,2.43,14.70,20.51,0.00
20070103,44445.29,0.00,2.39,0.00,60.35,0.00,9.82,0.00,0.00,6.07,6.42,13.28,10.05,12.76,0.00,0.00,4.31,4.14,1.00,0.00,0.00,29.90,8.12,0.00,12.34,0.00,12.00,10.69,18.00,4.76,7.12,0.00,0.00,0.00,17.67,14.25,59.12,0.00,0.00,0.00,0.00,0.00,7.46,2.31,0.00,0.00,5.00,5.92,3.89,0.00,0.00,0.00,0.00,0.00,9.76,0.00,21.03,17.10,0.00,1.42,75.52,8.24,0.00,6.17,0.00,0.00,2.12,8.88,2.52,14.19,19.50,0.00
20070104,44019.77,0.00,2.39,0.00,62.46,0.00,10.18,0.00,0.00,6.09,6.43,13.22,10.05,12.96,0.00,0.00,4.19,4.03,1.01,0.00,0.00,28.92,8.00,0.00,12.61,0.00,12.00,10.76,17.94,4.68,7.11,0.00,0.00,0.00,17.47,13.85,58.88,0.00,0.00,0.00,0.00,0.00,7.39,2.31,0.00,0.00,5.21,5.85,4.08,0.00,0.00,0.00,0.00,0.00,9.66,0.00,20.40,16.73,0.00,1.43,73.71,8.17,0.00,6.02,0.00,0.00,2.10,8.49,2.52,14.02,19.19,0.00
20070105,42245.16,0.00,2.35,0.00,58.88,0.00,9.74,0.00,0.00,5.85,6.16,12.49,9.43,12.37,0.00,0.00,4.17,3.84,1.01,0.00,0.00,26.67,7.65,0.00,12.57,0.00,11.50,10.48,17.23,4.43,6.92,0.00,0.00,0.00,16.56,13.29,56.31,0.00,0.00,0.00,0.00,0.00,7.10,2.23,0.00,0.00,5.17,5.49,3.96,0.00,0.00,0.00,0.00,0.00,9.23,0.00,20.01,16.21,0.00,1.44,73.51,7.78,0.00,5.85,0.00,0.00,2.06,8.16,2.46,13.30,18.38,0.00
20070108,42829.93,0.00,2.39,0.00,58.28,0.00,9.96,0.00,0.00,6.03,6.39,13.18,9.58,12.41,0.00,0.00,4.10,3.92,1.01,0.00,0.00,27.99,7.86,0.00,13.17,0.00,11.43,10.26,17.30,4.63,7.04,0.00,0.00,0.00,16.99,13.59,55.78,0.00,0.00,0.00,0.00,0.00,7.26,2.30,0.00,0.00,5.21,5.89,3.86,0.00,0.00,0.00,0.00,0.00,9.40,0.00,20.13,16.36,0.00,1.45,73.58,7.42,0.00,5.95,0.00,0.00,2.08,8.10,2.42,13.43,19.07,0.00
20070109,42006.78,0.00,2.37,0.00,57.99,0.00,9.86,0.00,0.00,5.88,6.28,13.07,9.36,12.25,0.00,0.00,3.97,3.85,1.01,0.00,0.00,26.86,7.88,0.00,12.75,0.00,11.31,10.16,17.05,4.57,6.97,0.00,0.00,0.00,16.67,13.24,56.30,0.00,0.00,0.00,0.00,0.00,7.10,2.23,0.00,0.00,5.18,5.82,3.77,0.00,0.00,0.00,0.00,0.00,9.55,0.00,19.74,15.98,0.00,1.46,72.67,7.36,0.00,5.82,0.00,0.00,2.06,7.93,2.35,13.23,18.58,0.00
20070110,42335.67,0.00,2.37,0.00,58.24,0.00,9.83,0.00,0.00,5.85,6.19,13.25,9.36,12.75,0.00,0.00,3.68,3.94,0.94,0.00,0.00,26.67,7.82,0.00,12.28,0.00,11.53,10.37,17.26,4.61,6.98,0.00,0.00,0.00,17.03,13.39,57.27,0.00,0.00,0.00,0.00,0.00,7.10,2.23,0.00,0.00,5.09,5.91,3.85,0.00,0.00,0.00,0.00,0.00,9.51,0.00,19.70,15.88,0.00,1.47,70.66,7.22,0.00,5.90,0.00,0.00,2.06,8.60,2.39,13.64,19.29,0.00
20070111,42670.32,0.00,2.39,0.00,58.41,0.00,9.97,0.00,0.00,5.93,6.28,13.55,9.87,12.92,0.00,0.00,3.69,3.97,0.94,0.00,0.00,27.13,7.89,0.00,11.90,0.00,11.50,10.37,17.38,4.61,7.12,0.00,0.00,0.00,17.01,13.45,58.28,0.00,0.00,0.00,0.00,0.00,7.21,2.25,0.00,0.00,5.20,5.81,3.87,0.00,0.00,0.00,0.00,0.00,9.29,0.00,19.75,15.87,0.00,1.48,72.84,7.28,0.00,5.90,0.00,0.00,2.09,8.42,2.39,13.66,19.40,0.00
20070112,43094.97,0.00,2.45,0.00,60.69,0.00,10.01,0.00,0.00,6.04,6.43,13.76,10.08,12.70,0.00,0.00,3.68,3.99,0.94,0.00,0.00,27.17,7.84,0.00,12.02,0.00,11.60,10.41,17.18,4.61,7.00,0.00,0.00,0.00,16.77,13.33,59.49,0.00,0.00,0.00,0.00,0.00,7.24,2.26,0.00,0.00,5.12,5.68,3.79,0.00,0.00,0.00,0.00,0.00,9.52,0.00,19.82,15.85,0.00,1.49,73.51,7.30,0.00,5.98,0.00,0.00,2.06,8.53,2.37,13.69,19.94,3.05
20070115,42919.17,0.00,2.47,0.00,61.62,0.00,10.16,0.00,0.00,6.07,6.42,14.09,9.93,12.33,0.00,0.00,3.76,4.01,0.94,0.00,0.00,27.66,7.75,0.00,11.87,0.00,11.31,10.25,17.46,4.58,7.00,0.00,0.00,0.00,16.53,13.17,57.80,0.00,0.00,0.00,0.00,0.00,7.28,2.27,0.00,0.00,5.21,5.77,3.79,0.00,0.00,0.00,0.00,0.00,9.34,0.00,19.71,15.76,0.00,1.50,73.64,7.53,0.00,5.99,0.00,0.00,2.06,8.23,2.37,13.59,19.94,3.92
20070116,42624.22,0.00,2.46,0.00,61.62,0.00,10.10,0.00,0.00,6.12,6.42,13.85,10.19,11.80,0.00,0.00,3.80,3.90,0.94,0.00,0.00,26.90,7.86,0.00,11.55,0.00,11.24,10.00,17.50,4.53,6.86,0.00,0.00,0.00,16.26,12.98,59.62,0.00,0.00,0.00,0.00,0.00,7.32,2.26,0.00,0.00,5.11,5.62,3.79,0.00,0.00,0.00,0.00,0.00,9.50,0.00,19.28,15.52,0.00,1.51,73.18,7.44,0.00,5.86,0.00,0.00,2.03,8.51,2.37,13.37,19.69,5.45
20070117,42735.48,0.00,2.48,0.00,55.29,0.00,10.23,0.00,0.00,6.13,6.41,13.88,10.41,11.54,0.00,0.00,3.94,3.89,0.94,0.00,0.00,26.41,7.78,0.00,11.45,0.00,11.25,10.07,17.59,4.58,6.99,0.00,0.00,0.00,16.10,12.97,58.94,0.00,0.00,0.00,0.00,0.00,7.37,2.31,0.00,0.00,5.07,5.82,3.73,0.00,0.00,0.00,0.00,0.00,9.50,0.00,19.28,15.47,0.00,1.52,73.64,7.50,0.00,5.87,0.00,0.00,2.04,8.53,2.44,13.64,19.79,5.32
20070118,42477.92,0.00,2.46,0.00,54.87,0.00,10.38,0.00,0.00,6.07,6.29,14.09,10.68,11.59,0.00,0.00,4.03,3.79,0.94,0.00,0.00,25.69,7.73,0.00,11.00,0.00,11.27,10.04,17.72,4.55,7.22,0.00,0.00,0.00,16.16,12.97,59.69,0.00,0.00,0.00,0.00,0.00,7.33,2.30,0.00,0.00,4.94,5.78,3.82,0.00,0.00,0.00,0.00,0.00,9.35,0.00,18.93,15.22,0.00,1.53,73.34,7.56,0.00,5.82,0.00,0.00,2.00,8.51,2.54,13.64,19.68,5.19
20070119,43427.64,0.00,2.44,0.00,54.32,0.00,10.51,0.00,0.00,6.21,6.46,14.36,10.54,11.93,0.00,0.00,3.99,3.85,0.94,0.00,0.00,27.00,7.71,0.00,11.87,0.00,11.62,10.34,17.95,4.53,7.26,0.00,0.00,0.00,16.59,13.13,60.90,0.00,0.00,0.00,0.00,0.00,7.48,2.35,0.00,0.00,4.84,5.72,3.99,0.00,0.00,0.00,0.00,0.00,9.47,0.00,19.77,15.86,0.00,1.54,75.52,7.71,0.00,5.91,0.00,0.00,2.03,8.53,2.47,13.75,20.30,5.07
20070122,43553.30,0.00,2.49,0.00,54.53,0.00,10.50,0.00,0.00,6.24,6.43,14.61,10.51,11.78,0.00,0.00,4.04,3.90,0.97,0.00,0.00,27.19,7.71,0.00,11.80,0.00,11.71,10.37,17.74,4.56,7.40,0.00,0.00,0.00,16.75,13.35,60.70,0.00,0.00,0.00,0.00,0.00,7.46,2.34,0.00,0.00,4.83,5.79,4.03,0.00,0.00,0.00,0.00,0.00,9.34,0.00,19.83,15.88,0.00,1.55,76.26,7.75,0.00,5.90,0.00,0.00,1.99,8.39,2.42,13.64,20.58,4.94
