Date,IBOV,BOVA11,ABEV3,AZUL4,BTOW3,B3SA3,BBAS3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BRKM5,BRFS3,BPAC11,CRFB3,CCRO3,CMIG4,HGTX3,CIEL3,COGN3,CSAN3,CPFE3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,YDUQ3,FLRY3,GOAU4,GGBR4,GOLL4,HAPV3,HYPE3,IGTA3,GNDI3,IRBR3,ITUB4,ITSA4,JBSS3,KLBN11,RENT3,LAME4,LREN3,MGLU3,MRFG3,BEEF3,MRVE3,MULT3,NTCO3,BRDT3,PETR3,PETR4,QUAL3,RADL3,RAIL3,SBSP3,SANB11,CSNA3,SULA11,SUZB3,TAEE11,TIMP3,TOTS3,USIM5,VALE3,WEGE3
200701,44641.60,0.00,2.48,0.00,54.44,0.00,10.57,0.00,0.00,6.18,6.23,15.19,10.20,11.80,0.00,0.00,4.03,3.98,1.02,0.00,0.00,26.80,7.71,0.00,11.49,0.00,11.98,10.82,17.43,4.70,7.34,0.00,0.00,0.00,17.52,14.33,59.67,0.00,0.00,0.00,0.00,0.00,7.43,2.43,0.00,0.00,4.92,5.82,3.63,0.00,0.00,0.00,0.00,0.00,9.24,0.00,20.40,16.45,0.00,1.72,77.03,7.53,0.00,6.66,0.00,0.00,1.97,8.42,2.51,14.59,22.30,4.18
200702,43892.31,0.00,2.49,0.00,59.00,0.00,10.44,0.00,0.00,5.65,5.64,16.07,9.05,11.19,0.00,0.00,3.94,3.95,1.44,0.00,0.00,25.83,7.78,0.00,11.52,0.00,10.78,10.05,19.53,4.97,6.94,0.00,0.00,0.00,18.48,14.49,56.96,0.00,0.00,12.03,0.00,0.00,6.89,2.36,0.00,0.00,4.29,5.61,3.65,0.00,0.00,0.00,0.00,0.00,8.67,0.00,18.77,15.05,0.00,2.84,81.55,7.90,0.00,7.17,0.00,0.00,2.00,7.60,2.62,16.08,22.74,3.92
200703,45804.66,0.00,2.73,0.00,58.58,0.00,10.15,0.00,0.00,6.06,6.07,16.42,9.99,12.07,0.00,0.00,3.97,3.95,1.95,0.00,0.00,24.56,8.00,0.00,11.18,0.00,11.00,10.10,19.21,4.49,7.24,0.00,0.00,0.00,19.21,15.11,58.93,0.00,0.00,11.46,0.00,0.00,6.81,2.38,6.64,0.00,4.83,6.16,3.26,0.00,0.00,0.00,0.00,0.00,7.47,0.00,20.30,16.20,0.00,2.81,83.66,7.71,0.00,8.59,0.00,0.00,2.00,7.90,2.83,18.15,23.93,3.85
200704,48956.39,0.00,2.99,0.00,61.21,0.00,10.59,0.00,4.16,6.34,6.28,18.25,11.40,13.36,0.00,0.00,4.59,4.21,1.99,0.00,0.00,25.75,8.67,0.00,12.45,0.00,10.93,10.77,19.63,4.83,7.18,0.00,0.00,0.00,21.72,16.60,54.24,0.00,0.00,12.05,0.00,0.00,7.41,2.54,6.82,0.00,4.79,6.11,3.51,0.00,0.00,0.00,0.00,0.00,7.70,0.00,20.09,15.87,0.00,2.66,79.44,7.67,0.00,8.61,0.00,0.00,2.23,7.82,3.04,17.56,26.34,3.81
200705,52268.46,0.00,3.31,0.00,69.22,0.00,12.05,0.00,5.86,7.14,7.07,19.64,10.77,15.21,0.00,0.00,4.66,4.46,2.35,0.00,0.00,27.03,9.91,0.00,14.62,0.00,12.30,11.38,19.02,5.08,8.25,0.00,0.00,0.00,22.59,17.30,59.81,0.00,0.00,13.86,0.00,0.00,7.99,2.75,7.08,0.00,5.06,6.86,4.03,0.00,0.00,0.00,0.00,0.00,8.46,0.00,20.31,16.13,0.00,4.84,82.99,8.62,0.00,9.58,0.00,0.00,2.32,7.97,3.50,19.47,27.29,3.73
200706,54392.06,0.00,3.50,0.00,67.78,0.00,12.73,0.00,7.20,7.13,6.75,19.67,11.34,15.96,0.00,0.00,5.13,4.81,2.34,0.00,0.00,20.76,10.67,0.00,13.97,0.00,13.90,12.84,19.16,5.89,8.64,0.00,0.00,0.00,26.48,19.81,59.88,0.00,0.00,13.26,0.00,0.00,8.14,2.77,7.08,0.00,5.00,7.29,4.43,0.00,17.47,0.00,0.00,0.00,9.02,0.00,23.06,18.13,0.00,4.77,88.41,9.37,0.00,9.65,0.00,0.00,2.36,7.97,3.26,20.01,27.02,3.97
200707,54182.50,0.00,3.36,0.00,66.68,0.00,13.51,0.00,6.42,7.35,7.08,21.31,11.35,15.52,0.00,0.00,4.92,4.46,2.13,0.00,4.50,20.88,9.84,0.00,12.89,0.00,11.92,11.02,16.61,5.18,9.01,0.00,0.00,0.00,25.01,19.01,43.64,0.00,0.00,12.03,0.00,0.00,8.19,2.73,7.21,0.00,4.45,7.91,4.32,0.00,19.47,17.72,6.03,6.64,7.40,0.00,23.94,18.50,0.00,4.87,85.73,10.09,0.00,10.51,0.00,0.00,2.53,7.68,2.97,21.05,29.10,4.58
200708,54637.24,0.00,3.43,0.00,63.73,0.00,12.87,0.00,6.22,7.24,7.07,22.27,11.89,16.70,0.00,0.00,4.91,4.43,1.97,0.00,4.16,14.36,9.67,0.00,12.79,0.00,12.17,10.91,18.00,4.61,9.01,0.00,0.00,0.00,24.41,19.21,40.82,0.00,0.00,10.97,0.00,0.00,8.14,2.70,8.21,0.00,4.48,7.58,4.13,0.00,19.08,17.36,6.25,6.43,6.67,0.00,23.93,18.32,0.00,4.21,76.02,10.66,0.00,10.77,0.00,0.00,2.65,7.71,3.08,21.26,30.41,4.53
200709,60465.06,0.00,3.37,0.00,73.01,0.00,14.17,0.00,6.05,7.70,7.75,28.10,11.35,17.48,0.00,0.00,5.33,4.58,2.14,0.00,4.24,16.46,9.79,0.00,17.38,0.00,12.89,11.58,16.68,4.53,9.07,0.00,0.00,0.00,24.61,19.17,42.03,0.00,0.00,10.32,0.00,0.00,8.73,2.90,7.17,0.00,4.30,8.62,4.48,0.00,18.13,16.20,6.48,6.21,7.09,0.00,27.19,20.78,0.00,4.22,87.41,10.25,0.00,12.46,0.00,0.00,2.57,8.21,3.05,23.29,38.85,4.85
200710,65317.70,0.00,3.66,0.00,79.25,0.00,14.35,0.00,7.11,8.25,8.55,29.25,10.72,20.40,0.00,0.00,4.62,4.35,2.29,0.00,3.95,17.93,10.47,0.00,20.93,0.00,12.87,11.78,17.27,4.16,9.97,0.00,0.00,0.00,27.78,21.61,45.11,0.00,0.00,11.15,0.00,0.00,9.36,3.01,6.98,0.00,4.61,9.61,5.25,0.00,17.08,15.85,7.03,6.97,6.70,0.00,32.71,25.49,0.00,4.56,92.10,10.20,0.00,13.39,4.68,0.00,2.91,8.89,3.28,24.74,41.07,5.73
200711,63006.16,0.00,3.33,0.00,68.37,0.00,14.63,0.00,6.56,8.11,8.23,28.30,10.35,18.85,0.00,0.00,4.52,4.47,2.47,0.00,3.33,13.82,9.69,0.00,19.27,0.00,11.98,11.06,16.19,3.99,8.95,0.00,0.00,0.00,27.70,20.37,43.44,0.00,0.00,10.06,0.00,0.00,9.40,2.99,6.64,0.00,4.12,8.14,5.13,0.00,15.27,11.26,8.53,6.61,6.01,0.00,33.43,25.44,0.00,3.62,78.57,10.02,0.00,13.20,4.18,0.00,2.96,7.08,3.14,24.81,39.62,5.28
